Status,County,Area,Area Name,List #,Address,Price,Years Old,Agent ID,Beds,F. Baths,P. Baths,Style,Contact,Contact Phone,Office,Sold Price,Closing Date,Selling Agent ID,Selling Office ID
Active,EAL,202004,Lawrenceville,1014723,222 46th Street,"219,000",94,200152,4,1,  ,2 ST,Maryann,412-874-8465,13409,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1023886,4036 CABINET,"199,000",114,212802,3,1,1,2 ST,CATHERINE,412-874-3074,13634,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1026040,5421 CARNEGIE STREET,"180,000",114,220108,3,2,  ,OVER 2,MARY KAY,415-983-4868,15101,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1020245,270 45th Street,"179,900",114,220635,3,1,1,OVER 2,KIM DAVIS,412-418-1579,15101,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1026614,190 44th Street,"179,900",999,212243,2,2,  ,2 ST,Boyd Cass,412-418-7625,10202,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1022499,5320 KEYSTONE,"179,900",114,220108,4,1,1,OVER 2,Mary Kay,412-983-4868,15101,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1017655,241 37th Street,"179,900",113,212973,2,2,  ,OVER 2,Agent,412-952-7063,36701,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1022295,5303 Wickliff,"174,000",114,219653,2,1,  ,OVER 2,Joe Schlereth,724-730-0706,13634,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1012919,5262 Wickliff Street,"169,000",113,210434,2,1,  ,2 ST,Rick,412-613-7598,13601,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1019456,5204 DRESDEN WAY,"167,999",114,211567,2,1,  ,2 ST,BILL HOLDEN,412-965-7653,11101,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1021187,5126 Carnegie,"159,500",999,214352,2,2,  ,OVER 2,Zolin Cook,412 953 2246,75101,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1011497,174 43rd St,"159,000",100,223563,3,1,  ,2 ST,Ed B,412-683-0220,74202,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1005316,5120 Holmes,"159,000",114,220250,2,1,  ,2 ST,Ryan E. Fisher,412-722-6099,78401,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1009999,185 42nd St.,"158,000",999,219796,3,2,  ,2 ST,Ally Mahon,412-680-5203,15101,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1010005,185 1/2 42nd St.,"158,000",999,219796,3,1,1,2 ST,Ally Mahon,412-680-5203,15101,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1023864,3600 BANDERA,"149,000",109,212802,3,0,  ,OVER 2,CATHERINE,412-874-3074,13634,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1020757,172 39th Street,"142,999",114,220141,2,1,1,2 ST,Kaitlin,412-606-3277,13604,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,998609,4214 Calvin,"139,999",101,215594,2,1,  ,2 ST,Justin,412-418-0596,13409,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1010759,280 Wernerberg Way,"139,900",999,219444,2,1,  ,2 ST,BRIAN KRIVANEK,412-519-3074,36701,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1009516,4228 Bruce Street,"134,000",80,223563,2,1,  ,2 ST,EB,412-683-0220,74202,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1007708,5213 Poe Way,"130,000",114,215987,3,1,1,2 ST,Terence Young,412-606-3555,76904,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1008110,216 39TH ST.,"130,000",999,205471,3,1,1,1.5,Frances Kimbro,412-298-3320,15137,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1010912,117 47th Street,"115,000",80,223563,2,1,  ,2 ST,Ed,412-683-0220,74202,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,998278,4917 Hatfield,"114,900",104,215594,2,1,0,OVER 2,Justin,412-418-0596,13409,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,990450,5167 Stanton Avenue,"110,000",999,220307,4,1,  ,OVER 2,Marcy O'Malley,724-339-4000,13410,  ,  ,  ,  
Active,EAL,202004,Lawrenceville,1020152,142 HOME STREET,"84,000",999,201105,2,1,  ,2 ST,TIRZAH,412.888-7048,13634,  ,  ,  ,  
Active,EAL,204001,Morningside,1026600,1641 Morningside Avenue,"179,900",69,216026,3,1,  ,OVER 2,Patty Miedel,724-396-2072,13453,  ,  ,  ,  
Active,EAL,204001,Morningside,1024253,1652 Jancey,"144,900",90,222790,3,1,1,2 ST,Agent - Sara,412-600-0569,15137,  ,  ,  ,  
Active,EAL,204001,Morningside,1022454,1958 Antietam,"139,500",64,219882,2,1,1,2 ST,Jackie Frankle,412-337-3528,13418,  ,  ,  ,  
Active,EAL,204001,Morningside,1024550,1928 Antietam St,"120,000",86,211326,2,2,  ,2 ST,Ted Harchick,412-967-6081,13620,  ,  ,  ,  
Active,EAL,204001,Morningside,1023673,1832 Antietam,"95,000",84,223892,3,1,  ,2 ST,Meg Burkardt,4128285040,22401,  ,  ,  ,  
Active,EAL,204001,Morningside,1016661,1743 Jancey Street,"79,000",999,218954,2,1,1,2 ST,Chris McCarthy,724-882-3342,13402,  ,  ,  ,  
Active,EAL,204001,Morningside,995776,6613 Marrietta Street,"26,500",114,218061,3,0,0,OVER 2,Rheyma,412-945-0393,10202,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1015718,3607 Charlotte Street,"419,000",0,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1020367,36 48th Street,"370,000",999,220659,3,2,1,OVER 2,Mark Marquardt,412-965-6353,17301,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1007644,3619 Charlotte,"365,000",999,214352,3,2,1,OVER 2,Zolin Cook,412 953 2246,75101,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1011030,2902 PENN AVE,"350,000",999,201105,2,2,1,OVER 2,TIRZAH,412.888-7048,13634,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1012146,174 38th St,"349,900",124,219394,3,1,  ,2 ST,Dean R Beisner,412-304-6620,13409,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1012124,5208 POE WAY,"239,900",114,217536,2,2,1,2 ST,CHAD CHURCH,412-320-9525,11102,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,992906,102 431/2 street,"229,000",114,220007,3,1,  ,2 ST,412-335-7136,412-335-7136,13620,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1026857,5131 Carnegie,"229,000",114,222745,2,1,  ,2 ST,Curt Buchanan,412-523-2693,13634,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1003876,4612 PLUMMER STREET,"220,000",999,201105,3,1,  ,OVER 2,SANDY DETEMPLE,412.913-2695,13634,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1014557,158 43 1/2,"174,700",114,219859,3,2,  ,OTHER,Greg,412-519-6105,36701,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1014832,140 Home,"164,900",124,215834,2,2,1,2 ST,Doug Caye,412 576 5561,13601,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1010039,5242 Keystone Street,"150,000",114,219959,5,2,  ,OVER 2,Dan Duty,412 965 2052,13620,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1019534,5218 HOLMES STREET,"149,900",114,219653,3,2,  ,2 ST,AGENT,724-822-1148,13634,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1016329,410 40TH,"149,000",114,212802,3,2,  ,2 ST,CATHERINE,412-874-3074,13634,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1004293,5641 Carnegie,"145,000",84,220281,4,2,  ,OVER 2,Michael Gallis,412-512-4745,13220,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1023103,4927 PLUM WAY,"79,900",104,214399,2,1,  ,OVER 2,AGENT,412-953-0686,15120,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1022540,5268 HOLMES,"72,500",109,220108,2,1,  ,2 ST,MARY KAY,412-983-4868,15101,  ,  ,  ,  
Contingent,EAL,202004,Lawrenceville,1018744,5329 HOLMES,"69,900",999,203619,2,1,1,2 ST,DAVID,665-0500X18,74001,  ,  ,  ,  
Contingent,EAL,204001,Morningside,997189,1005 Jancey,"249,900",105,219698,5,2,1,OVER 2,Agent,412-298-0662,13643,  ,  ,  ,  
Contingent,EAL,204001,Morningside,1021045,1721 EL PASO STREET,"209,900",89,203692,4,2,  ,OVER 2,OWNER,412-651-4377,15101,  ,  ,  ,  
Contingent,EAL,204001,Morningside,1023678,1636 Duffield Street,"149,900",70,204644,3,1,  ,2 ST,Donna,412-728-3856,79101,  ,  ,  ,  
Sold,EAL,202004,Lawrenceville,974180,459 40th Street 2,"669,000",117,219051,3,2,  ,OTHER,Cassidy Haus,412 877 7484,15105,"550,000",11/20/2013,  ,13604
Sold,EAL,202004,Lawrenceville,1009736,271 38th Street,"485,000",2,201105,2,2,1,OVER 2,SANDY DETEMPLE,412.913-2695,13634,"470,000",08/28/2014,215818,15105
Sold,EAL,202004,Lawrenceville,1000741,5309 Carnegie Street,"429,900",114,218406,3,2,2,OVER 2,Beth Mathias,412-782-3700,13204,"405,000",07/01/2014,216392,77601
Sold,EAL,202004,Lawrenceville,967082,4602 Hatfield Street,"420,000",0,218403,3,2,1,2 ST,Christa Ross,724-309-1758,77608,"418,250",06/04/2014,212802,13634
Sold,EAL,202004,Lawrenceville,978125,123 43rd Street,"419,999",130,220693,3,2,1,OVER 2,Stephen,412-302-6133,26101,"411,500",11/22/2013,220693,26101
Sold,EAL,202004,Lawrenceville,955076,4812 HATFIELD,"419,000",999,217564,6,  ,  ,OVER 2,DEREK GREEN,412-559-0904,13604,"362,500",06/25/2013,  ,13604
Sold,EAL,202004,Lawrenceville,1005503,254 Main Street,"414,900",140,204577,4,2,1,OVER 2,Lisa & Jessica,412-849-9983,13634,"400,000",06/23/2014,  ,10202
Sold,EAL,202004,Lawrenceville,930589,3435 LIGONIER,"399,000",0,202603,3,2,1,OVER 2,JOE LARKIN,412-860-6625,13601,"399,000",03/07/2013,216691,77601
Sold,EAL,202004,Lawrenceville,989587,4933 HATFIELD,"399,000",100,212802,3,2,1,OVER 2,CATHERINE,412-874-3074,13634,"385,000",01/24/2014,218061,10202
Sold,EAL,202004,Lawrenceville,546740,196 36th 3D,"395,000",0,204841,1,1,  ,OVER 2,Chris Thomas,412-521-5500,13220,"395,000",02/28/2006,  ,13409
Sold,EAL,202004,Lawrenceville,930244,4606 Hatfield Street E,"395,000",0,218403,3,2,1,2 ST,Christa Ross,7243091758,77608,"438,868",10/15/2013,218403,77608
Sold,EAL,202004,Lawrenceville,967068,4540 Hatfield Street,"395,000",0,218403,3,2,1,2 ST,Christa Ross,724-309-1758,77608,"404,242",01/06/2014,212802,13634
Sold,EAL,202004,Lawrenceville,995330,247 37th Street,"389,900",113,212973,4,3,1,OVER 2,Agent,412-952-7063,36701,"370,000",04/28/2014,220468,11101
Sold,EAL,202004,Lawrenceville,967061,4528 Hatfield Street,"385,000",0,218403,3,2,1,2 ST,Christa Ross,724-309-1758,77608,"392,851",01/31/2014,209581,13220
Sold,EAL,202004,Lawrenceville,912720,238 38th,"380,000",0,214352,4,3,1,OVER 2,Zolin Cook,412 953 2246,75101,"355,000",08/15/2012,216522,13409
Sold,EAL,202004,Lawrenceville,943851,167 38th Street,"375,000",0,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,"379,095",12/06/2013,218962,32401
Sold,EAL,202004,Lawrenceville,930979,196 36th Street 3D,"374,900",7,219558,1,1,  ,M RISE,Rick S,412-352-3417,13604,"355,000",08/16/2013,  ,13604
Sold,EAL,202004,Lawrenceville,930241,4622 Hatfield Street A1,"370,000",0,218403,3,2,1,2 ST,Christa Ross,7243091758,77608,"370,130",06/10/2013,218403,77608
Sold,EAL,202004,Lawrenceville,980661,379 44TH STREET,"369,900",999,201105,4,2,1,OVER 2,SANDY DETEMPLE,412.913-2695,13634,"360,000",07/30/2014,200679,13202
Sold,EAL,202004,Lawrenceville,938649,4232 Sherrod Street,"359,000",999,202893,4,3,1,OVER 2,Phil Marcus,412-422-1923,61801,"349,000",06/20/2013,218403,77608
Sold,EAL,202004,Lawrenceville,879014,3409 BUTLER STREET,"355,000",0,201105,3,2,1,OVER 2,JOE LARKIN,412.860-6625,13634,"355,000",05/29/2012,201105,13634
Sold,EAL,202004,Lawrenceville,879003,3405 BUTLER STREET,"355,000",0,201105,3,2,1,OVER 2,JOE LARKIN,412.860-6625,13634,"355,000",06/18/2012,  ,13634
Sold,EAL,202004,Lawrenceville,878992,3403 BUTLER STREET,"355,000",0,201105,3,2,1,OVER 2,SANDY DETEMPLE,412.681-8191,13634,"355,000",03/26/2012,  ,13634
Sold,EAL,202004,Lawrenceville,988535,4618 Hatfield Street D,"355,000",0,218403,2,1,1,2 ST,Christa Ross,7243091758,77608,"355,000",12/20/2013,210490,13643
Sold,EAL,202004,Lawrenceville,879009,3407 BUTLER STREET,"355,000",0,201105,3,2,1,OVER 2,SANDY DETEMPLE,412.681-8191,13634,"400,000",04/14/2012,202603,13601
Sold,EAL,202004,Lawrenceville,930236,4614 Hatfield Street A2,"355,000",0,218403,3,2,1,2 ST,Christa Ross,7243091758,77608,"376,000",07/31/2013,202452,13604
Sold,EAL,202004,Lawrenceville,1013623,245 37th,"354,900",113,212973,3,2,1,OVER 2,Agent,412-952-7063,36701,"345,000",07/31/2014,  ,13418
Sold,EAL,202004,Lawrenceville,967086,4532 Hatfield Street,"350,000",0,218403,3,1,1,OVER 2,Christa Ross,724-309-1758,77608,"362,938",04/16/2014,218403,77608
Sold,EAL,202004,Lawrenceville,973745,459 40th Street 1,"349,000",117,219051,2,1,1,OTHER,Cassidy Haus,412 877 7484,15105,"300,000",02/04/2014,214352,75101
Sold,EAL,202004,Lawrenceville,964649,181 Home Street,"345,000",999,200966,4,2,1,OVER 2,PAM,412-537-8564,13634,"345,000",07/12/2013,217215,61801
Sold,EAL,202004,Lawrenceville,938694,3644 Penn 201,"340,000",0,217309,2,1,  ,M RISE,Kathy Wallace,412-855-8419,77601,"340,000",03/27/2013,217309,77601
Sold,EAL,202004,Lawrenceville,992657,4745 HATFIELD,"339,000",100,212802,5,2,  ,OVER 2,CATHERINE,412-874-3074,13634,"310,000",04/03/2014,  ,13634
Sold,EAL,202004,Lawrenceville,991805,183 HOME STREET,"335,000",999,200966,4,2,1,OVER 2,PAM,412-537-8564,13634,"333,500",05/27/2014,212370,13402
Sold,EAL,202004,Lawrenceville,962441,223 Fisk,"333,000",999,200152,3,3,  ,OVER 2,m bacharach,412-874-8465,13409,"333,000",05/17/2013,216691,77601
Sold,EAL,202004,Lawrenceville,876266,3661 Penn Avenue,"329,000",0,217215,3,2,1,OVER 2,Holly,412-377-0015,61801,"329,000",12/28/2011,  ,13418
Sold,EAL,202004,Lawrenceville,1003166,247 FISK,"329,000",100,212802,4,2,  ,OVER 2,CATHERINE,412-874-3074,13634,"303,000",07/16/2014,222745,13634
Sold,EAL,202004,Lawrenceville,976314,160 45th Street,"325,000",123,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,"328,750",04/09/2014,220108,15101
Sold,EAL,202004,Lawrenceville,967050,138 46th Street,"325,000",0,218403,3,1,1,2 ST,Christa Ross,724-309-1758,77608,"327,207",04/18/2014,218403,77608
Sold,EAL,202004,Lawrenceville,967056,124 46th Street,"325,000",0,218403,3,1,1,2 ST,Christa Ross,724-309-1758,77608,"316,731",03/18/2014,218403,77608
Sold,EAL,202004,Lawrenceville,966413,246 37th Street,"319,500",999,202893,3,2,1,OVER 2,Phil Marcus,412-422-1923,61801,"312,000",09/11/2013,219653,13634
Sold,EAL,202004,Lawrenceville,992365,196 36th 3C,"319,000",9,218403,2,1,  ,M RISE,Christa Ross,724-309-1758,77608,"310,000",06/30/2014,219874,13220
Sold,EAL,202004,Lawrenceville,879596,2901 Smallman Street D3,"315,000",13,205546,1,1,  ,H RISE,Agent,412-363-4000,13634,"266,000",01/05/2012,  ,13409
Sold,EAL,202004,Lawrenceville,681167,196 36th,"310,000",1,204929,2,1,  ,H RISE,agent,412-889-1797,15101,"295,000",12/27/2007,  ,13409
Sold,EAL,202004,Lawrenceville,996844,163 42nd,"310,000",999,200966,3,2,1,OVER 2,Pam,412-537-8564,13634,"310,000",04/30/2014,  ,13603
Sold,EAL,202004,Lawrenceville,981427,186 42nd St.,"310,000",123,219796,3,2,1,2 ST,Ally Mahon,412-680-5203,13603,"295,000",03/28/2014,  ,13411
Sold,EAL,202004,Lawrenceville,876261,3659 Penn Avenue,"309,000",0,217215,3,2,1,OVER 2,Holly,412-377-0015,61801,"310,607",02/27/2012,217081,13418
Sold,EAL,202004,Lawrenceville,999250,5202 BUTLER #1,"305,000",100,212802,2,2,  ,M RISE,CATHERINE,412-874-3074,13634,"297,000",06/13/2014,217777,15105
Sold,EAL,202004,Lawrenceville,977901,173 43rd St,"303,000",113,215594,4,2,1,OVER 2,JUSTIN,412-418-0596,13409,"303,000",09/03/2013,215594,13409
Sold,EAL,202004,Lawrenceville,967044,130 46th Street,"300,000",0,218403,2,1,1,2 ST,Christa Ross,724-309-1758,77608,"306,568",04/15/2014,219546,13634
Sold,EAL,202004,Lawrenceville,967031,132 46th Street,"300,000",0,218403,2,1,1,2 ST,Christa Ross,724-309-1758,77608,"300,000",06/10/2014,209646,13405
Sold,EAL,202004,Lawrenceville,950335,3501 Butler 3B,"299,900",113,210719,1,1,1,M RISE,Dani Gundlach,412-654-4749,61801,"285,000",08/21/2013,210719,61801
Sold,EAL,202004,Lawrenceville,938946,28 48 th  Street,"299,750",999,202893,3,2,1,OVER 2,Phil Marcus,412-422-1923,61801,"285,000",05/07/2013,214186,13604
Sold,EAL,202004,Lawrenceville,840682,265 40TH STREET,"299,000",999,201105,4,1,  ,OVER 2,SANDY DETEMPLE,412 681-8191,13634,"257,500",01/17/2011,201105,13634
Sold,EAL,202004,Lawrenceville,959796,3626 Smallman Street,"295,000",98,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,"304,000",11/14/2013,217215,61801
Sold,EAL,202004,Lawrenceville,1016023,2906 PENN AVE.,"295,000",999,201105,3,2,  ,2 ST,SANDY DETEMPLE,412.913-2695,13634,"288,000",08/22/2014,217309,77601
Sold,EAL,202004,Lawrenceville,959795,3624 Smallman Street,"295,000",98,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,"301,000",10/15/2013,  ,13634
Sold,EAL,202004,Lawrenceville,976322,4827 Hatfield Street,"295,000",103,217215,3,2,1,2 ST,Holly Sisk,412-377-0015,61801,"299,250",01/21/2014,214724,13409
Sold,EAL,202004,Lawrenceville,601847,196 36th Street 3-C,"292,000",  ,204841,2,1,  ,RANCH,Sandy DeTemple,412-681-8191,13220,"292,000",03/24/2006,  ,15101
Sold,EAL,202004,Lawrenceville,963738,3491 Denny Street,"290,000",122,217215,3,2,  ,OVER 2,Holly Sisk,412-377-0015,61801,"292,000",08/29/2013,217215,61801
Sold,EAL,202004,Lawrenceville,834728,4315 Stanton,"289,000",95,217759,4,2,1,OVER 2,Christean,412-537-7993,13634,"265,000",09/13/2010,201234,13634
Sold,EAL,202004,Lawrenceville,842613,241 44th  STREET,"289,000",999,201105,3,2,1,OVER 2,SANDY DETEMPLE,412 6818191,13634,"265,000",11/24/2010,208012,13604
Sold,EAL,202004,Lawrenceville,943398,173 43rd STREET,"289,000",999,214104,3,2,1,OVER 2,Eileen / Laura,412-848-5844,13402,"280,000",02/15/2013,215594,13409
Sold,EAL,202004,Lawrenceville,985683,307 45th,"285,500",999,211564,3,2,  ,2 ST,Julie,412.818.7924,13409,"280,000",12/16/2013,  ,13402
Sold,EAL,202004,Lawrenceville,955053,3612 Smallman St,"285,000",100,219796,3,2,  ,OVER 2,Ally Mahon,412-680-5203,13603,"275,000",05/13/2013,  ,13402
Sold,EAL,202004,Lawrenceville,930232,130 Home Street B,"285,000",0,218403,3,1,1,2 ST,Christa Ross,7243091758,77608,"285,000",07/05/2013,200327,13634
Sold,EAL,202004,Lawrenceville,939514,3644 Penn Avenue 205,"285,000",0,217309,2,1,  ,M RISE,Kathy Wallace,4128558419,77601,"291,500",04/03/2013,217309,77601
Sold,EAL,202004,Lawrenceville,1001497,261 38th St,"280,000",100,219796,2,  ,  ,OVER 2,Ally,412-680-5203,15101,"280,000",06/20/2014,220536,13409
Sold,EAL,202004,Lawrenceville,551270,3501 BUTLER ST,"279,900",5,201607,1,1,1,OVER 2,CHERYL GERSON,412-401-4693,13604,"275,000",04/25/2005,  ,13409
Sold,EAL,202004,Lawrenceville,758358,339 Fisk Street,"279,900",109,202452,4,2,1,OVER 2,Mitchell Cowan,412-298-9170,13604,"280,000",08/31/2009,208012,13604
Sold,EAL,202004,Lawrenceville,1001478,3628 Mintwood St.,"279,900",124,214588,2,2,1,2 ST,Nancy Yagesh,412-760-1774,15105,"256,000",06/12/2014,212883,13220
Sold,EAL,202004,Lawrenceville,898564,263 40TH     STREET,"279,900",999,201105,4,2,  ,OVER 2,SANDY DETEMPLE,412 681-8191,13634,"225,000",06/22/2012,  ,13409
Sold,EAL,202004,Lawrenceville,484751,3501 Butler 3A,"279,000",102,205844,1,2,  ,M RISE,Roberta Mann,412-999-2888,13604,"237,500",07/06/2004,  ,13604
Sold,EAL,202004,Lawrenceville,819257,173 43RD,"279,000",121,212802,3,2,1,OVER 2,CATHERINE412-8,412-874-3074,13634,"271,920",07/02/2010,  ,13409
Sold,EAL,202004,Lawrenceville,868332,182 36th Street,"275,000",91,217215,3,2,0,OVER 2,Holly,412-377-0015,61801,"285,850",03/26/2012,207694,13613
Sold,EAL,202004,Lawrenceville,883866,307 45th Street,"275,000",121,217215,3,2,1,OVER 2,Holly Sisk,412-377-0015,61801,"273,763",06/15/2012,213825,13409
Sold,EAL,202004,Lawrenceville,1006519,373 44th St.,"275,000",999,214352,3,2,1,OVER 2,Zolin Cook,412 953 2246,75101,"272,000",07/30/2014,221036,61801
Sold,EAL,202004,Lawrenceville,910836,459 40th Street 3,"274,900",116,219051,4,2,1,OVER 2,Cassidy Haus,412 877 7484,15105,"274,900",11/05/2012,215312,13634
Sold,EAL,202004,Lawrenceville,924259,168 45th STREET,"269,900",999,201105,4,2,1,OVER 2,SANDY DETEMPLE,412.913-2695,13634,"255,000",10/17/2012,222745,13634
Sold,EAL,202004,Lawrenceville,876258,3647 Penn Avenue,"269,000",0,217215,2,2,  ,OVER 2,Holly,412-377-0015,61801,"269,000",04/20/2012,214495,13418
Sold,EAL,202004,Lawrenceville,855537,40 48TH,"265,000",999,212802,3,2,  ,OVER 2,CATHERINE,412-874-3074,13634,"306,628",02/09/2012,  ,13418
Sold,EAL,202004,Lawrenceville,969137,185 Almond Way,"265,000",94,220248,3,2,1,OVER 2,isaac segev,412-848-0127,13604,"250,000",12/05/2013,210719,61801
Sold,EAL,202004,Lawrenceville,920600,257 44th,"265,000",112,222790,4,2,0,OVER 2,Sara,412-600-0569,15137,"253,500",07/19/2013,  ,13418
Sold,EAL,202004,Lawrenceville,930227,134 Home Street C,"265,000",0,218403,2,1,1,2 ST,Christa Ross,7243091758,77608,"265,539",10/14/2013,218403,77608
Sold,EAL,202004,Lawrenceville,962305,4373 Stanton Ave,"265,000",113,203142,4,2,1,OVER 2,Kelly Meade,412-389-2175,13409,"265,000",07/19/2013,214699,13620
